Date,SPY,AAPL,AMZN,GOOGL,MSFT
2010-02-15,81.29855346679688,6.015429496765137,5.982999801635742,13.249955177307129,20.912166595458984
2010-02-16,82.57777404785156,6.10609245300293,5.876500129699707,13.45325756072998,21.325897216796875
2010-02-17,82.96906280517578,6.0805745124816895,5.815499782562256,13.376459121704102,21.506431579589844
2010-02-18,83.45818328857422,6.091981410980225,5.9039998054504395,13.5009765625,21.792280197143555
2010-02-19,83.63127136230469,6.054156303405762,5.875999927520752,13.439837455749512,21.64183807373047
2010-02-22,83.64629364013672,6.016631126403809,5.9004998207092285,13.490538597106934,21.611740112304688
2010-02-23,82.63043212890625,5.915764331817627,5.861999988555908,13.298418998718262,21.31084442138672
2010-02-24,83.3904800415039,6.023836135864258,5.986000061035156,13.208945274353027,21.536523818969727
2010-02-25,83.2776107788086,6.064064979553223,5.909999847412109,13.083684921264648,21.513961791992188
2010-02-26,83.33027648925781,6.142716884613037,5.920000076293945,13.092879295349121,21.56661033630371
2010-03-01,84.19561767578125,6.273904323577881,6.2270002365112305,13.239269256591797,21.829891204833984
2010-03-02,84.42887878417969,6.269701957702637,6.276500225067139,13.447294235229492,21.408641815185547
2010-03-03,84.50414276123047,6.284111022949219,6.29449987411499,13.553169250488281,21.408641815185547
2010-03-04,84.76001739501953,6.325538158416748,6.426499843597412,13.783560752868652,21.536523818969727
2010-03-05,85.97149658203125,6.572903156280518,6.445499897003174,14.022653579711914,21.506431579589844
2010-03-08,85.98653411865234,6.576807498931885,6.505499839782715,13.979656219482422,21.536523818969727
2010-03-09,86.12950897216797,6.695087432861328,6.440999984741211,13.92274284362793,21.664400100708008
2010-03-10,86.51327514648438,6.749723434448242,6.5254998207092285,14.326863288879395,21.792280197143555
2010-03-11,86.87446594238281,6.769536018371582,6.678999900817871,14.443426132202148,21.950254440307617
2010-03-12,86.88201141357422,6.802558898925781,6.591000080108643,14.40365982055664,22.017946243286133
2010-03-15,86.90460205078125,6.719702243804932,6.55649995803833,13.997054100036621,22.032995223999023
2010-03-16,87.59684753417969,6.738015651702881,6.5894999504089355,14.047258377075195,22.093177795410156
2010-03-17,88.1160659790039,6.72810697555542,6.566999912261963,14.056207656860352,22.28875732421875
2010-03-18,88.07093811035156,6.744018077850342,6.638000011444092,14.077083587646484,22.273717880249023
2010-03-19,87.6251220703125,6.671971321105957,6.517499923706055,13.918020248413086,22.2586669921875
2010-03-22,88.09357452392578,6.747020721435547,6.523499965667725,13.85588550567627,22.26618766784668
2010-03-23,88.7131576538086,6.855393409729004,6.4629998207092285,13.644631385803223,22.476816177368164
2010-03-24,88.28250122070312,6.885714530944824,6.4019999504089355,13.85166072845459,22.303800582885742
